ISO 639-2 Code,ISO 639-1 Code,English name of Language,French name of Language,German name of Language,JW_for_iso1_status,JW_for_iso2_status,Does_have_bible
ira,,Iranian languages,"iraniennes, langues",Iranische Sprachen (Andere),N/A,Redirected to EN,0
iro,,Iroquoian languages,"iroquoises, langues",Irokesische Sprachen,N/A,Redirected to EN,0
ice (B)isl (T),is,Icelandic,islandais,Isländisch,Exists,Redirected to EN,1
ita,it,Italian,italien,Italienisch,Exists,Redirected to EN,1
jav,jv,Javanese,javanais,Javanisch,Exists,Exists,1
jbo,,Lojban,lojban,Lojban,N/A,Redirected to EN,0
jpn,ja,Japanese,japonais,Japanisch,Exists,Redirected to EN,1
jpr,,Judeo-Persian,judéo-persan,Jüdisch-Persisch,N/A,Redirected to EN,0
jrb,,Judeo-Arabic,judéo-arabe,Jüdisch-Arabisch,N/A,Redirected to EN,0
kaa,,Kara-Kalpak,karakalpak,Karakalpakisch,N/A,Exists,1
kab,,Kabyle,kabyle,Kabylisch,N/A,Exists,1
kac,,Kachin; Jingpho,kachin; jingpho,Kachin-Sprache,N/A,Exists,1
kal,kl,Kalaallisut; Greenlandic,groenlandais,Grönländisch,Exists,Redirected to EN,1
kam,,Kamba,kamba,Kamba-Sprache,N/A,Exists,1
kan,kn,Kannada,kannada,Kannada,Exists,Redirected to EN,1
kar,,Karen languages,"karen, langues",Karenisch,N/A,Redirected to EN,0
kas,ks,Kashmiri,kashmiri,Kaschmiri,Redirected to EN,Redirected to EN,0
geo (B)kat (T),ka,Georgian,géorgien,Georgisch,Exists,Redirected to EN,1
kau,kr,Kanuri,kanouri,Kanuri-Sprache,Redirected to EN,Redirected to EN,0
kaw,,Kawi,kawi,Kawi,N/A,Redirected to EN,0
kaz,kk,Kazakh,kazakh,Kasachisch,Exists,Redirected to EN,1
kbd,,Kabardian,kabardien,Kabardinisch,N/A,Exists,1
kha,,Khasi,khasi,Khasi-Sprache,N/A,Exists,1
khi,,Khoisan languages,"khoïsan, langues",Khoisan-Sprachen (Andere),N/A,Redirected to EN,0
