code      , canonical_code, is_iso3, is_glottocode, Articles, Avggoodpagelength  , adjusted_wp_size       , article_count, avg_article_length , entropy           , ethnologue_population, glotto_mapped_iso, glottocode, jw_bible_available, median_article_length, mention_total, os_base_required       , real_ratio          , realtotalratio      , wals_family          , wals_genus                       , wp_incubator, wp_size_chars
hung1275  , hnu           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hnu              , hung1275  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hoav1238  , hoa           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hoa              , hoav1238  ,                   ,                      ,              ,                        ,                     ,                     , Austronesian         , Oceanic                          ,             ,            
mari1429  , hob           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hob              , mari1429  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hooo1248  , hoc           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 1M to 1B             , hoc              , hooo1248  ,                   ,                      ,              ,                        ,                     ,                     , Austro-Asiatic       , Munda                            ,            1,            
holm1250  , hod           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , hod              , holm1250  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
horo1245  , hoe           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hoe              , horo1245  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hoh       , hoh           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , hoby1242  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
holi1241  , hoi           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , hoi              , holi1241  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hoj       , hoj           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 1M to 1B             ,                  , hado1235  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
holu1245  , hol           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , hol              , holu1245  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
homa1239  , hom           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , hom              , homa1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hoo       , hoo           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , holo1240  ,                   ,                      ,              ,                        ,                     ,                     , Niger-Congo          , Bantu                            ,             ,            
hopi1249  , hop           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hop              , hopi1249  ,                   ,                      ,              ,                        ,                     ,                     , Uto-Aztecan          , Northern Uto-Aztecan             ,             ,            
horo1247  , hor           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , hor              , horo1247  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hora1238  , hora1238      , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      ,                  , hora1238  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hos       , hos           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , hoch1237  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hote1245  , hot           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hot              , hote1245  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hott1234  , hott1234      , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      ,                  , hott1234  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hovo1239  , hov           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hov              , hovo1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
how       , how           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , honi1244  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hoxa1234  , hoxa1234      , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      ,                  , hoxa1234  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hoy       , hoy           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , holi1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hozo1236  , hoz           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hoz              , hozo1236  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hpon1238  , hpo           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , hpo              , hpon1238  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hps       , hps           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , None                 ,                  , hawa1235  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hran1239  , hra           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , hra              , hran1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hrc       , hrc           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  ,           ,                   ,                      ,              ,                        ,                     ,                     , Austronesian         , Oceanic                          ,             ,            
