code,iso639_3,glottocode,AdjustedWPsize,Articles,WPincubatornew,WPsizeinchars,Realtotalratio,Avggoodpagelength,Population Size,Digital Support,has_glottolog,has_bible,win11_os_supported,tatoeba_sentences,has_wals,Ethnologue_Status,has_wiki
ank,ank,goem1240,,,0,,,,5,1,1,0,0,,1,1,0
anl,anl,anuu1241,,,0,,,,3,1,1,0,0,,0,1,0
anm,anm,anal1239,,,0,,,,5,1,1,0,0,,0,2,0
ann,ann,obol1243,5.867371,2.705008,1,5.867371,0.7593688362919132,3.180904,5,2,1,0,0,,1,2,1
ano,ano,ando1256,,,0,,,,3,1,1,0,0,,1,1,0
anp,anp,angi1238,6.722053,3.54382,0,6.722053,0.49928469241773965,3.20897,7,2,1,0,0,,0,2,1
anq,anq,jara1245,,,0,,,,3,1,1,0,0,,1,2,0
anr,anr,,,,0,,,,5,0,0,0,0,,0,1,0
ans,ans,anse1238,,,0,,,,0,0,1,0,0,,0,0,0
ant,ant,anta1253,,,0,,,,0,0,1,0,0,,0,1,0
anu,anu,anua1242,,,0,,,,5,2,1,0,0,,1,2,0
anv,anv,deny1238,,,0,,,,5,2,1,0,0,,0,2,0
anw,anw,anaa1238,,,0,,,,7,1,1,0,0,,0,2,0
anx,anx,andr1248,,,0,,,,3,0,1,0,0,,0,2,0
any,any,anyi1245,,,0,,,,7,2,1,0,0,,1,2,0
anz,anz,anem1249,,,0,,,,3,0,1,0,0,,1,2,0
aoa,aoa,ango1258,,,0,,,,3,1,1,0,0,,1,1,0
aob,aob,abom1238,,,0,,,,0,0,1,0,0,,0,1,0
aoc,aoc,pemo1248,,,1,,,,5,2,1,0,0,,1,1,0
aod,aod,anda1284,,,0,,,,3,0,1,0,0,,0,2,0
aoe,aoe,anga1294,,,0,,,,5,0,1,0,0,,0,2,0
aof,aof,brag1240,,,0,,,,3,1,1,0,0,,0,2,0
aog,aog,ango1255,,,0,,,,3,0,1,0,0,,0,2,0
aoh,aoh,arma1244,,,,,,,,,1,0,0,,0,,0
aoi,aoi,anin1240,,,0,,,,3,1,1,0,0,,1,2,0
aoj,aoj,mufi1238,,,0,,,,5,1,1,0,0,,1,1,0
aok,aok,arho1237,,,0,,,,0,0,1,0,0,,0,1,0
aol,aol,alor1247,,,0,,,,5,1,1,0,0,,0,2,0
aom,aom,omie1241,,,0,,,,3,1,1,0,0,,1,2,0
aon,aon,bumb1241,,,0,,,,3,1,1,0,0,,0,1,0
aor,aor,aore1237,,,0,,,,0,0,1,0,0,,0,0,0
aos,aos,taik1255,,,0,,,,3,0,1,0,0,,0,1,0
aot,aot,aton1241,,,0,,,,5,0,1,0,0,,0,1,0
aou,aou,aoua1234,,,0,,,,0,0,1,0,0,,0,1,0
aox,aox,ator1244,,,0,,,,0,0,1,0,0,,0,1,0
aoz,aoz,uabm1237,,,0,,,,5,2,1,0,0,1.380211241711606,1,2,0
apb,apb,saaa1240,,,0,,,,5,1,1,0,0,,1,3,0
apc,apc,nort3139,,,1,,,,7,2,1,0,0,2.0086001717619175,1,3,0
apd,apd,suda1236,,,0,,,,7,2,1,0,0,,0,3,0
ape,ape,buki1249,,,0,,,,5,1,1,0,0,,1,1,0
apf,apf,agta1234,,,0,,,,3,1,1,0,0,,0,2,0
apg,apg,ampa1239,,,0,,,,0,0,1,0,0,,0,0,0
aph,aph,athp1241,,,0,,,,3,2,1,0,0,,1,1,0
api,api,apia1248,,,0,,,,0,0,1,0,0,,0,1,0
apj,apj,jica1244,,,0,,,,3,1,1,0,0,,1,1,0
apk,apk,kiow1264,,,0,,,,0,1,1,0,0,,0,1,0
apl,apl,lipa1241,,,0,,,,0,1,1,0,0,,0,1,0
apm,apm,mesc1238,,,0,,,,3,1,1,0,0,,1,1,0
apn,apn,apin1244,,,0,,,,3,1,1,0,0,,1,2,0
apo,apo,apal1255,,,0,,,,3,0,1,0,0,,0,2,0
app,app,apma1240,,,0,,,,5,1,1,0,0,,0,2,0
apq,apq,apuc1241,,,0,,,,0,0,1,0,0,,1,0,0
apr,apr,arop1243,,,0,,,,3,1,1,0,0,,1,2,0
aps,aps,arop1242,,,0,,,,3,1,1,0,0,,0,2,0
apt,apt,apat1240,,,0,,,,5,1,1,0,0,,1,1,0
apu,apu,apur1254,,,0,,,,3,1,1,0,0,,1,1,0
apv,apv,alap1235,,,0,,,,0,0,1,0,0,,0,0,0
apw,apw,west2615,,,1,,,,5,2,1,0,0,,1,1,0
apx,apx,aput1237,,,0,,,,3,0,1,0,0,,0,1,0
apy,apy,apal1257,,,0,,,,3,1,1,0,0,,1,2,0
apz,apz,safe1240,,,0,,,,3,1,1,0,0,,1,2,0
aqc,aqc,arch1244,,,1,,,,3,1,1,0,0,,1,1,0
aqd,aqd,ampa1238,,,0,,,,3,0,1,0,0,,0,2,0
aqg,aqg,arig1246,,,0,,,,5,2,1,0,0,,0,2,0
aqk,aqk,anin1242,,,0,,,,3,0,1,0,0,,0,2,0
aqm,aqm,atoh1238,,,0,,,,3,0,1,0,0,,0,1,0
aqn,aqn,nort2875,,,0,,,,3,1,1,0,0,,0,1,0
aqp,aqp,atak1252,,,0,,,,0,0,1,0,0,,1,0,0
aqr,aqr,arha1237,,,0,,,,3,0,1,0,0,,0,1,0
aqt,aqt,anga1316,,,0,,,,3,0,1,0,0,,0,1,0
aqz,aqz,akun1241,,,0,,,,0,0,1,0,0,,0,1,0
ara,ara,,9.702132,6.374493,0,9.702132,0.5199530863301031,3.333153,,,0,1,1,4.827265857293864,0,,1
arb,arb,stan1318,,,0,,,,7,,1,0,0,,1,3,0
arc,arc,impe1235,5.727366,3.576572,,5.727366,0.1052492046659597,2.372002,,,1,0,0,,0,,1
ard,ard,arab1267,,,0,,,,0,0,1,0,0,,1,1,0
are,are,west2441,,,0,,,,3,1,1,0,0,,1,2,0
arg,arg,arag1245,8.229831,4.926456,0,8.229831,0.5853687427447821,3.306699,5,3,1,0,0,2.0170333392987803,0,1,1
arh,arh,arhu1242,,,0,,,,3,2,1,0,0,,1,2,0
ari,ari,arik1262,,,0,,,,0,1,1,0,0,,1,1,0
arj,arj,arap1275,,,0,,,,0,0,1,0,0,,0,1,0
ark,ark,arik1265,,,0,,,,0,0,1,0,0,,0,1,0
arl,arl,arab1268,,,0,,,,0,2,1,0,0,,1,1,0
arn,arn,mapu1245,,,1,,,,5,2,1,1,0,2.7520484478194387,1,1,0
aro,aro,arao1248,,,1,,,,3,1,1,0,0,,1,1,0
