	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
poy	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
ppa	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ppe	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ppi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ppk	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ppl	s	h	s	s	s	s	h	s	s	s	s	h	s	h	s	s	s	s	s	s	dead	-	dead	-
ppm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ppn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ppo	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
ppp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ppq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ppr	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
pps	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ppt	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ppu	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ppv	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
pqa	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pqm	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
prb	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
prc	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
prd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pre	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
prf	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
prg	s	h	s	s	h	s	h	s	h	h	s	h	h	h	h	s	s	h	s	h	dead	-	dead	-
prh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pri	s	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	s
prk	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
prl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
prm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
prn	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
pro	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
prp	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
prq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
